Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.0,91,s,11,0.13,0.00657,"rgb(255.0, 32.0, 32.0)"
0.0,92,s,22,0.2,0.000407,"rgb(255.0, 50.0, 50.0)"
0.0,93,s,7,0.21,0.102,"rgb(255.0, 52.0, 52.0)"
0.0,94,s,16,0.58,0.304,"rgb(255.0, 147.99999999999997, 147.99999999999997)"
0.0,95,s,11,0.0,0.000445,"rgb(255.0, 0.0, 0.0)"
0.0,96,s,9,0.36,0.194,"rgb(255.0, 92.0, 92.0)"
0.0,97,s,25,0.11,5.17e-06,"rgb(255.0, 28.0, 28.0)"
0.0,98,s,19,0.24,0.00276,"rgb(255.0, 60.0, 60.0)"
0.0,99,s,24,0.18,0.000111,"rgb(255.0, 46.0, 46.0)"
0.01,1,s,40,0.76,0.366,"rgb(255.0, 194.0, 194.0)"
0.01,3,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,4,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,5,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,6,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.01,8,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,9,s,3,2.54,0.187,"rgb(0.0, 0.0, 255.0)"
0.01,10,s,1,inf,0.0,"rgb(0.0, 0.0, 255.0)"
0.01,12,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,13,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,15,s,4,0.0,0.0846,"rgb(255.0, 0.0, 0.0)"
0.01,16,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.01,17,s,3,2.54,0.187,"rgb(0.0, 0.0, 255.0)"
0.01,18,s,3,0.63,1.0,"rgb(255.0, 160.0, 160.0)"
0.01,19,s,7,1.69,0.308,"rgb(78.0, 78.0, 255.0)"
0.01,21,s,2,1.27,0.546,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.01,22,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,23,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,24,s,5,0.32,0.389,"rgb(255.0, 80.0, 80.0)"
0.01,26,s,8,0.0,0.00406,"rgb(255.0, 0.0, 0.0)"
0.01,27,s,5,0.0,0.0391,"rgb(255.0, 0.0, 0.0)"
0.01,28,s,3,0.0,0.185,"rgb(255.0, 0.0, 0.0)"
0.01,29,s,7,7.61,0.000171,"rgb(0.0, 0.0, 255.0)"
0.01,30,s,1,0.0,1.0,"rgb(255.0, 0.0, 0.0)"
0.01,33,s,4,1.27,0.674,"rgb(186.00000000000003, 186.00000000000003, 255.0)"
0.01,34,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,35,s,2,0.0,0.417,"rgb(255.0, 0.0, 0.0)"
0.01,36,s,5,5.07,0.00865,"rgb(0.0, 0.0, 255.0)"
0.01,37,s,11,1.52,0.302,"rgb(121.99999999999999, 121.99999999999999, 255.0)"
