Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
72,0.01,1,3,4,0.42,0.737
73,0.01,1,10,11,0.13,0.00657
74,0.01,1,4,5,0.32,0.389
75,0.01,0,5,5,0.0,0.0391
76,0.01,4,8,12,0.63,0.545
77,0.01,2,10,12,0.25,0.0304
78,0.01,1,12,13,0.11,0.00163
79,0.01,4,11,15,0.46,0.126
80,0.01,3,7,10,0.54,0.392
81,0.01,3,9,12,0.42,0.182
82,0.01,3,3,6,1.27,0.515
83,0.01,4,9,13,0.56,0.344
84,0.01,2,7,9,0.36,0.194
85,0.01,1,5,6,0.25,0.201
86,0.01,2,6,8,0.42,0.349
87,0.01,0,12,12,0.0,0.00013
88,0.01,3,10,13,0.38,0.104
89,0.01,1,22,23,0.06,9.17e-07
90,0.01,1,8,9,0.16,0.0262
91,0.01,6,22,28,0.35,0.00358
92,0.01,2,12,14,0.21,0.0084
93,0.01,4,8,12,0.63,0.545
94,0.01,2,12,14,0.21,0.0084
95,0.01,0,11,11,0.0,0.000445
96,0.01,1,11,12,0.12,0.00328
97,0.01,1,21,22,0.06,1.88e-06
98,0.01,11,23,34,0.61,0.0995
99,0.01,2,21,23,0.12,2.03e-05
100,0.01,3,14,17,0.27,0.00962
2,0.02,0,0,0,,
4,0.02,0,1,1,0.0,1.0
5,0.02,0,1,1,0.0,1.0
6,0.02,3,2,5,1.9,0.211
7,0.02,2,2,4,1.27,0.674
8,0.02,0,2,2,0.0,0.417
9,0.02,3,2,5,1.9,0.211
10,0.02,0,2,2,0.0,0.417
11,0.02,0,5,5,0.0,0.0391
13,0.02,1,3,4,0.42,0.737
14,0.02,0,7,7,0.0,0.00859
15,0.02,5,3,8,2.11,0.0917
16,0.02,1,1,2,1.27,0.546
17,0.02,1,7,8,0.18,0.0519
18,0.02,7,5,12,1.77,0.124
19,0.02,3,1,4,3.8,0.0458
20,0.02,3,11,14,0.35,0.0585
21,0.02,0,5,5,0.0,0.0391
22,0.02,0,8,8,0.0,0.00406
23,0.02,3,4,7,0.95,1.0
24,0.02,3,5,8,0.76,1.0
25,0.02,3,15,18,0.25,0.00517
27,0.02,4,7,11,0.72,0.671
28,0.02,0,9,9,0.0,0.00193
29,0.02,1,8,9,0.16,0.0262
30,0.02,0,4,4,0.0,0.0846
31,0.02,0,11,11,0.0,0.000445
32,0.02,7,7,14,1.27,0.517
33,0.02,4,8,12,0.63,0.545
34,0.02,0,9,9,0.0,0.00193
35,0.02,10,6,16,2.11,0.0319
36,0.02,10,10,20,1.27,0.471
37,0.02,2,2,4,1.27,0.674
38,0.02,3,4,7,0.95,1.0
39,0.02,1,5,6,0.25,0.201
40,0.02,5,8,13,0.79,0.841
41,0.02,21,10,31,2.66,7.73e-05
42,0.02,2,9,11,0.28,0.0572
43,0.02,3,9,12,0.42,0.182
44,0.02,2,3,5,0.85,1.0
45,0.02,0,11,11,0.0,0.000445
47,0.02,1,12,13,0.11,0.00163
48,0.02,2,9,11,0.28,0.0572
49,0.02,2,15,17,0.17,0.00116
50,0.02,2,17,19,0.15,0.000305
51,0.02,6,10,16,0.76,0.719
52,0.02,7,13,20,0.68,0.431
53,0.02,9,15,24,0.76,0.558
54,0.02,6,8,14,0.95,1.0
55,0.02,23,8,31,3.65,2.38e-07
56,0.02,39,11,50,4.5,4.13e-14
57,0.02,12,9,21,1.69,0.0854
58,0.02,4,14,18,0.36,0.033
59,0.02,4,8,12,0.63,0.545
60,0.02,7,10,17,0.89,1.0
61,0.02,11,11,22,1.27,0.393
62,0.02,7,23,30,0.39,0.00635
63,0.02,3,12,15,0.32,0.0324
64,0.02,2,10,12,0.25,0.0304
65,0.02,9,26,35,0.44,0.0076
66,0.02,11,11,22,1.27,0.393
68,0.02,6,15,21,0.51,0.107
69,0.02,0,4,4,0.0,0.0846
70,0.02,2,13,15,0.2,0.00437
71,0.02,2,15,17,0.17,0.00116
72,0.02,8,13,21,0.78,0.637
73,0.02,8,30,38,0.34,0.000412
74,0.02,8,13,21,0.78,0.637
75,0.02,19,13,32,1.85,0.0114
76,0.02,4,17,21,0.3,0.00573
77,0.02,2,24,26,0.11,2.6e-06
78,0.02,3,23,26,0.17,2.97e-05
79,0.02,1,17,18,0.07,4.9e-05
80,0.02,8,16,24,0.63,0.257
81,0.02,4,13,17,0.39,0.0577
82,0.02,6,13,19,0.59,0.212
83,0.02,10,16,26,0.79,0.572
84,0.02,13,21,34,0.78,0.46
85,0.02,1,23,24,0.06,4.49e-07
86,0.02,2,8,10,0.32,0.106
87,0.02,6,23,29,0.33,0.00203
88,0.02,7,23,30,0.39,0.00635
89,0.02,16,26,42,0.78,0.376
90,0.02,4,14,18,0.36,0.033
91,0.02,6,42,48,0.18,1.64e-08
92,0.02,9,20,29,0.57,0.0998
93,0.02,2,10,12,0.25,0.0304
94,0.02,7,19,26,0.47,0.0374
95,0.02,7,17,24,0.52,0.0983
96,0.02,3,13,16,0.29,0.0177
97,0.02,3,35,38,0.11,9.34e-09
98,0.02,15,26,41,0.73,0.268
99,0.02,2,33,35,0.08,3.3e-09
100,0.02,11,18,29,0.77,0.505
2,0.03,0,0,0,,
4,0.03,0,1,1,0.0,1.0
5,0.03,0,1,1,0.0,1.0
6,0.03,3,3,6,1.27,0.515
7,0.03,2,1,3,2.54,0.187
8,0.03,0,2,2,0.0,0.417
9,0.03,3,2,5,1.9,0.211
10,0.03,0,2,2,0.0,0.417
11,0.03,0,5,5,0.0,0.0391
13,0.03,1,3,4,0.42,0.737
14,0.03,0,7,7,0.0,0.00859
15,0.03,5,3,8,2.11,0.0917
16,0.03,1,1,2,1.27,0.546
17,0.03,1,7,8,0.18,0.0519
18,0.03,7,5,12,1.77,0.124
19,0.03,3,1,4,3.8,0.0458
20,0.03,3,11,14,0.35,0.0585
21,0.03,0,5,5,0.0,0.0391
22,0.03,0,8,8,0.0,0.00406
23,0.03,3,4,7,0.95,1.0
24,0.03,3,5,8,0.76,1.0
25,0.03,3,15,18,0.25,0.00517
27,0.03,4,7,11,0.72,0.671
28,0.03,0,9,9,0.0,0.00193
29,0.03,1,8,9,0.16,0.0262
30,0.03,0,4,4,0.0,0.0846
31,0.03,0,11,11,0.0,0.000445
32,0.03,7,7,14,1.27,0.517
33,0.03,4,8,12,0.63,0.545
34,0.03,0,9,9,0.0,0.00193
35,0.03,10,6,16,2.11,0.0319
36,0.03,10,10,20,1.27,0.471
37,0.03,2,2,4,1.27,0.674
38,0.03,3,4,7,0.95,1.0
39,0.03,1,5,6,0.25,0.201
40,0.03,5,8,13,0.79,0.841
41,0.03,21,10,31,2.66,7.73e-05
42,0.03,2,9,11,0.28,0.0572
43,0.03,3,9,12,0.42,0.182
44,0.03,2,3,5,0.85,1.0
45,0.03,0,11,11,0.0,0.000445
47,0.03,1,12,13,0.11,0.00163
48,0.03,2,9,11,0.28,0.0572
49,0.03,2,15,17,0.17,0.00116
50,0.03,2,17,19,0.15,0.000305
51,0.03,6,10,16,0.76,0.719
52,0.03,7,13,20,0.68,0.431
53,0.03,9,15,24,0.76,0.558
54,0.03,6,8,14,0.95,1.0
55,0.03,23,8,31,3.65,2.38e-07
56,0.03,39,11,50,4.5,4.13e-14
57,0.03,12,9,21,1.69,0.0854
58,0.03,4,14,18,0.36,0.033
59,0.03,4,8,12,0.63,0.545
60,0.03,7,10,17,0.89,1.0
61,0.03,11,11,22,1.27,0.393
62,0.03,7,23,30,0.39,0.00635
63,0.03,3,12,15,0.32,0.0324
64,0.03,2,10,12,0.25,0.0304
65,0.03,9,26,35,0.44,0.0076
66,0.03,11,12,23,1.16,0.623
68,0.03,6,15,21,0.51,0.107
69,0.03,0,4,4,0.0,0.0846
