Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
76,0.18,8,18,26,0.56,0.11
77,0.18,2,10,12,0.25,0.0304
78,0.18,11,35,46,0.4,0.000561
79,0.18,14,27,41,0.66,0.128
80,0.18,1,26,27,0.05,5.28e-08
81,0.18,8,20,28,0.51,0.0568
82,0.18,3,29,32,0.13,5.41e-07
83,0.18,18,18,36,1.27,0.287
84,0.18,8,25,33,0.41,0.00464
85,0.18,13,20,33,0.82,0.613
86,0.18,2,14,16,0.18,0.00226
87,0.18,14,21,35,0.85,0.623
88,0.18,10,24,34,0.53,0.0377
89,0.18,4,27,31,0.19,1.09e-05
90,0.18,4,32,36,0.16,4.15e-07
91,0.18,1,13,14,0.1,0.00081
92,0.18,4,18,22,0.28,0.00314
93,0.18,3,8,11,0.48,0.232
94,0.18,2,23,25,0.11,5.17e-06
95,0.18,1,16,17,0.08,9.89e-05
96,0.18,0,8,8,0.0,0.00406
97,0.18,11,23,34,0.61,0.0995
98,0.18,5,7,12,0.91,1.0
99,0.18,5,21,26,0.3,0.00189
100,0.18,6,16,22,0.48,0.0654
2,0.19,782,1084,1866,0.91,0.0108
4,0.19,207,429,636,0.61,1.37e-14
5,0.19,282,400,682,0.89,0.058
6,0.19,332,389,721,1.08,0.151
7,0.19,236,435,671,0.69,9.49e-10
8,0.19,288,453,741,0.81,0.000157
9,0.19,298,417,715,0.91,0.0908
10,0.19,305,427,732,0.91,0.0843
11,0.19,234,368,602,0.81,0.000691
13,0.19,318,310,628,1.3,5.85e-06
14,0.19,223,296,519,0.96,0.511
15,0.19,216,291,507,0.94,0.389
16,0.19,230,338,568,0.86,0.0247
17,0.19,203,245,448,1.05,0.47
18,0.19,190,259,449,0.93,0.343
19,0.19,188,239,427,1.0,1.0
20,0.19,180,216,396,1.06,0.442
21,0.19,160,219,379,0.93,0.36
22,0.19,165,206,371,1.02,0.814
23,0.19,144,201,345,0.91,0.265
24,0.19,159,155,314,1.3,0.00128
25,0.19,166,156,322,1.35,0.000207
27,0.19,120,125,245,1.22,0.034
28,0.19,84,124,208,0.86,0.171
29,0.19,84,144,228,0.74,0.00473
30,0.19,85,131,216,0.82,0.0758
31,0.19,89,98,187,1.15,0.19
32,0.19,75,104,179,0.91,0.472
33,0.19,95,112,207,1.08,0.456
34,0.19,94,102,196,1.17,0.132
35,0.19,50,91,141,0.7,0.00916
36,0.19,63,64,127,1.25,0.0783
37,0.19,39,74,113,0.67,0.00871
38,0.19,71,60,131,1.5,0.0013
39,0.19,31,56,87,0.7,0.0497
40,0.19,69,58,127,1.51,0.00139
41,0.19,33,38,71,1.1,0.582
42,0.19,20,50,70,0.51,0.00102
43,0.19,59,55,114,1.36,0.0223
44,0.19,28,51,79,0.7,0.0576
45,0.19,13,53,66,0.31,3.77e-07
47,0.19,33,45,78,0.93,0.737
48,0.19,45,47,92,1.21,0.188
49,0.19,35,48,83,0.92,0.744
50,0.19,17,33,50,0.65,0.0773
51,0.19,30,63,93,0.6,0.00352
52,0.19,22,51,73,0.55,0.0026
53,0.19,25,50,75,0.63,0.0204
54,0.19,11,27,38,0.52,0.0222
55,0.19,7,26,33,0.34,0.00121
56,0.19,19,41,60,0.59,0.017
57,0.19,21,24,45,1.11,0.566
58,0.19,10,41,51,0.31,8.86e-06
59,0.19,24,37,61,0.82,0.403
60,0.19,9,25,34,0.46,0.0125
61,0.19,27,33,60,1.04,0.844
62,0.19,16,27,43,0.75,0.327
63,0.19,34,24,58,1.8,0.00168
64,0.19,21,26,47,1.02,0.912
65,0.19,16,25,41,0.81,0.498
66,0.19,47,24,71,2.48,4.59e-08
68,0.19,9,16,25,0.71,0.396
69,0.19,5,16,21,0.4,0.0327
70,0.19,7,19,26,0.47,0.0374
71,0.19,11,21,32,0.66,0.217
72,0.19,32,21,53,1.93,0.000748
73,0.19,12,21,33,0.72,0.324
74,0.19,17,21,38,1.03,0.902
75,0.19,1,10,11,0.13,0.00657
76,0.19,1,14,15,0.09,0.000402
77,0.19,2,11,13,0.23,0.016
78,0.19,7,25,32,0.35,0.00212
79,0.19,13,22,35,0.75,0.338
80,0.19,1,16,17,0.08,9.89e-05
81,0.19,11,15,26,0.93,1.0
82,0.19,3,25,28,0.15,7.89e-06
83,0.19,17,10,27,2.16,0.00361
84,0.19,8,20,28,0.51,0.0568
85,0.19,3,16,19,0.24,0.00276
86,0.19,3,13,16,0.29,0.0177
87,0.19,9,18,27,0.63,0.229
88,0.19,12,28,40,0.54,0.0322
89,0.19,3,26,29,0.15,4.05e-06
90,0.19,2,25,27,0.1,1.31e-06
91,0.19,1,15,16,0.08,0.000199
92,0.19,4,18,22,0.28,0.00314
93,0.19,1,5,6,0.25,0.201
94,0.19,0,17,17,0.0,3.24e-06
95,0.19,2,14,16,0.18,0.00226
96,0.19,0,6,6,0.0,0.0183
97,0.19,14,23,37,0.77,0.409
98,0.19,3,12,15,0.32,0.0324
99,0.19,5,22,27,0.29,0.00105
100,0.19,5,9,14,0.7,0.572
2,0.2,824,1140,1964,0.92,0.0106
4,0.2,219,459,678,0.6,5.01e-16
5,0.2,318,450,768,0.9,0.0482
6,0.2,378,444,822,1.08,0.139
7,0.2,257,425,682,0.77,9.63e-06
8,0.2,301,496,797,0.77,2.17e-06
9,0.2,295,480,775,0.78,8.54e-06
10,0.2,356,427,783,1.06,0.285
11,0.2,254,380,634,0.85,0.00755
13,0.2,267,322,589,1.05,0.413
14,0.2,236,287,523,1.04,0.505
15,0.2,194,281,475,0.88,0.0637
16,0.2,249,317,566,1.0,0.975
17,0.2,201,221,422,1.15,0.0441
18,0.2,195,248,443,1.0,1.0
19,0.2,176,216,392,1.03,0.645
20,0.2,149,176,325,1.07,0.372
21,0.2,147,205,352,0.91,0.269
22,0.2,169,170,339,1.26,0.00369
23,0.2,145,171,316,1.08,0.388
24,0.2,114,144,258,1.0,0.962
25,0.2,196,136,332,1.83,1.27e-14
27,0.2,118,169,287,0.89,0.193
28,0.2,89,108,197,1.04,0.664
29,0.2,74,122,196,0.77,0.0215
30,0.2,74,111,185,0.85,0.164
31,0.2,73,93,166,1.0,1.0
32,0.2,75,87,162,1.09,0.432
33,0.2,76,93,169,1.04,0.726
34,0.2,106,94,200,1.43,0.000466
35,0.2,39,81,120,0.61,0.00109
36,0.2,47,50,97,1.19,0.231
37,0.2,31,52,83,0.76,0.137
38,0.2,43,54,97,1.01,0.939
39,0.2,44,51,95,1.09,0.528
40,0.2,56,55,111,1.29,0.0575
41,0.2,25,33,58,0.96,0.922
42,0.2,23,41,64,0.71,0.112
43,0.2,65,47,112,1.75,3.38e-05
44,0.2,31,39,70,1.01,0.928
45,0.2,12,40,52,0.38,0.000116
47,0.2,22,33,55,0.85,0.492
48,0.2,42,38,80,1.4,0.0348
49,0.2,24,40,64,0.76,0.211
50,0.2,18,49,67,0.47,0.000366
51,0.2,29,61,90,0.6,0.00385
52,0.2,30,30,60,1.27,0.181
53,0.2,19,44,63,0.55,0.00497
54,0.2,9,22,31,0.52,0.0407
55,0.2,6,20,26,0.38,0.0109
56,0.2,5,49,54,0.13,2.92e-11
57,0.2,18,18,36,1.27,0.287
58,0.2,8,28,36,0.36,0.00126
59,0.2,22,31,53,0.9,0.761
60,0.2,4,19,23,0.27,0.00171
61,0.2,11,91,102,0.15,9.48e-19
62,0.2,8,27,35,0.38,0.00217
63,0.2,17,15,32,1.44,0.143
64,0.2,12,20,32,0.76,0.448
65,0.2,10,15,25,0.85,0.77
66,0.2,19,17,36,1.42,0.131
68,0.2,6,15,21,0.51,0.107
69,0.2,2,10,12,0.25,0.0304
70,0.2,7,15,22,0.59,0.189
71,0.2,9,22,31,0.52,0.0407
72,0.2,3,18,21,0.21,0.000774
73,0.2,8,13,21,0.78,0.637
74,0.2,17,15,32,1.44,0.143
75,0.2,1,13,14,0.1,0.00081
76,0.2,1,10,11,0.13,0.00657
77,0.2,2,7,9,0.36,0.194
78,0.2,2,20,22,0.13,4e-05
79,0.2,12,22,34,0.69,0.229
80,0.2,0,16,16,0.0,6.73e-06
81,0.2,5,8,13,0.79,0.841
82,0.2,5,21,26,0.3,0.00189
83,0.2,15,16,31,1.19,0.479
84,0.2,8,16,24,0.63,0.257
85,0.2,2,12,14,0.21,0.0084
86,0.2,3,10,13,0.38,0.104
87,0.2,9,21,30,0.54,0.0642
88,0.2,2,24,26,0.11,2.6e-06
89,0.2,1,17,18,0.07,4.9e-05
90,0.2,1,19,20,0.07,1.21e-05
91,0.2,1,7,8,0.18,0.0519
92,0.2,2,15,17,0.17,0.00116
93,0.2,1,4,5,0.32,0.389
94,0.2,0,12,12,0.0,0.00013
95,0.2,1,13,14,0.1,0.00081
96,0.2,1,7,8,0.18,0.0519
97,0.2,7,18,25,0.49,0.0611
98,0.2,3,15,18,0.25,0.00517
99,0.2,5,21,26,0.3,0.00189
100,0.2,5,9,14,0.7,0.572
2,0.21,875,1282,2157,0.87,9.44e-06
4,0.21,276,522,798,0.67,9.92e-13
5,0.21,369,556,925,0.84,0.000693
6,0.21,385,533,918,0.92,0.0856
7,0.21,321,501,822,0.81,0.000118
8,0.21,299,536,835,0.71,2.13e-10
9,0.21,322,495,817,0.82,0.000362
10,0.21,340,470,810,0.92,0.111
11,0.21,286,398,684,0.91,0.119
13,0.21,279,301,580,1.18,0.00828
14,0.21,274,262,536,1.33,7.65e-06
15,0.21,186,260,446,0.91,0.195
16,0.21,207,262,469,1.0,0.972
17,0.21,164,204,368,1.02,0.782
18,0.21,179,218,397,1.04,0.592
19,0.21,162,186,348,1.1,0.2
20,0.21,141,168,309,1.06,0.459
21,0.21,134,168,302,1.01,0.896
22,0.21,97,144,241,0.85,0.132
23,0.21,128,131,259,1.24,0.0179
24,0.21,93,113,206,1.04,0.671
25,0.21,121,102,223,1.5,2.1e-05
27,0.21,79,135,214,0.74,0.00649
28,0.21,76,81,157,1.19,0.132
29,0.21,66,64,130,1.31,0.0342
30,0.21,80,96,176,1.06,0.604
31,0.21,40,62,102,0.82,0.223
32,0.21,43,52,95,1.05,0.754
33,0.21,43,59,102,0.92,0.66
34,0.21,78,76,154,1.3,0.0234
35,0.21,29,65,94,0.57,0.000986
36,0.21,36,32,68,1.43,0.0363
37,0.21,36,37,73,1.23,0.195
38,0.21,34,42,76,1.03,0.862
39,0.21,14,34,48,0.52,0.0115
40,0.21,29,28,57,1.31,0.136
41,0.21,23,19,42,1.53,0.0506
42,0.21,20,31,51,0.82,0.418
43,0.21,21,23,44,1.16,0.479
44,0.21,11,38,49,0.37,0.000155
45,0.21,5,29,34,0.22,1.41e-05
47,0.21,4,13,17,0.39,0.0577
48,0.21,27,23,50,1.49,0.0448
49,0.21,18,28,46,0.82,0.455
50,0.21,15,39,54,0.49,0.00275
51,0.21,24,45,69,0.68,0.053
52,0.21,13,21,34,0.78,0.46
53,0.21,16,34,50,0.6,0.0332
54,0.21,8,18,26,0.56,0.11
55,0.21,4,19,23,0.27,0.00171
56,0.21,5,39,44,0.16,2.23e-08
57,0.21,3,12,15,0.32,0.0324
58,0.21,2,19,21,0.13,7.89e-05
59,0.21,13,14,27,1.18,0.544
60,0.21,12,12,24,1.27,0.412
61,0.21,6,85,91,0.09,1.95e-21
62,0.21,1,14,15,0.09,0.000402
63,0.21,12,12,24,1.27,0.412
64,0.21,12,23,35,0.66,0.194
65,0.21,1,11,12,0.12,0.00328
66,0.21,19,11,30,2.19,0.0018
68,0.21,3,20,23,0.19,0.000213
69,0.21,2,12,14,0.21,0.0084
70,0.21,6,12,18,0.63,0.328
71,0.21,9,14,23,0.82,0.652
72,0.21,0,11,11,0.0,0.000445
73,0.21,0,8,8,0.0,0.00406
74,0.21,1,6,7,0.21,0.102
75,0.21,3,6,9,0.63,0.642
76,0.21,1,4,5,0.32,0.389
77,0.21,1,6,7,0.21,0.102
78,0.21,0,15,15,0.0,1.4e-05
79,0.21,4,16,20,0.32,0.0104
80,0.21,0,15,15,0.0,1.4e-05
81,0.21,0,7,7,0.0,0.00859
82,0.21,10,16,26,0.79,0.572
83,0.21,0,7,7,0.0,0.00859
84,0.21,7,8,15,1.11,0.689
85,0.21,3,11,14,0.35,0.0585
86,0.21,1,4,5,0.32,0.389
87,0.21,2,19,21,0.13,7.89e-05
88,0.21,2,19,21,0.13,7.89e-05
89,0.21,1,17,18,0.07,4.9e-05
90,0.21,0,12,12,0.0,0.00013
91,0.21,1,12,13,0.11,0.00163
92,0.21,2,11,13,0.23,0.016
93,0.21,1,4,5,0.32,0.389
94,0.21,0,9,9,0.0,0.00193
95,0.21,0,14,14,0.0,2.94e-05
96,0.21,0,6,6,0.0,0.0183
97,0.21,1,18,19,0.07,2.43e-05
98,0.21,3,13,16,0.29,0.0177
99,0.21,5,21,26,0.3,0.00189
100,0.21,0,4,4,0.0,0.0846
2,0.22,896,1287,2183,0.88,0.00012
4,0.22,287,543,830,0.67,3.75e-13
5,0.22,388,563,951,0.87,0.0069
6,0.22,390,552,942,0.9,0.0281
7,0.22,325,517,842,0.8,2.23e-05
8,0.22,308,530,838,0.74,1.65e-08
9,0.22,320,500,820,0.81,0.000116
10,0.22,332,469,801,0.9,0.0468
11,0.22,291,397,688,0.93,0.222
13,0.22,275,297,572,1.17,0.00868
14,0.22,276,264,540,1.33,7.03e-06
15,0.22,176,256,432,0.87,0.0716
16,0.22,208,262,470,1.01,0.917
17,0.22,167,194,361,1.09,0.256
18,0.22,178,218,396,1.04,0.619
19,0.22,149,178,327,1.06,0.447
20,0.22,143,168,311,1.08,0.36
21,0.22,126,163,289,0.98,0.86
22,0.22,96,136,232,0.89,0.309
23,0.22,119,124,243,1.22,0.0376
24,0.22,96,101,197,1.21,0.0723
25,0.22,112,93,205,1.53,2.39e-05
27,0.22,76,125,201,0.77,0.023
28,0.22,66,72,138,1.16,0.231
29,0.22,56,56,112,1.27,0.0826
30,0.22,78,94,172,1.05,0.642
31,0.22,41,59,100,0.88,0.463
32,0.22,41,49,90,1.06,0.687
33,0.22,26,53,79,0.62,0.0129
34,0.22,74,67,141,1.4,0.00572
35,0.22,30,63,93,0.6,0.00352
36,0.22,30,35,65,1.09,0.633
37,0.22,34,38,72,1.13,0.463
38,0.22,35,37,72,1.2,0.266
39,0.22,12,34,46,0.45,0.00255
40,0.22,29,26,55,1.41,0.0753
41,0.22,20,18,38,1.41,0.141
42,0.22,17,30,47,0.72,0.215
43,0.22,21,22,43,1.21,0.398
44,0.22,8,37,45,0.27,7.05e-06
45,0.22,5,30,35,0.21,7.51e-06
47,0.22,4,12,16,0.42,0.0737
48,0.22,25,25,50,1.27,0.216
49,0.22,17,26,43,0.83,0.508
50,0.22,15,35,50,0.54,0.013
51,0.22,23,37,60,0.79,0.307
52,0.22,9,17,26,0.67,0.274
53,0.22,15,30,45,0.63,0.0795
54,0.22,5,16,21,0.4,0.0327
55,0.22,5,18,23,0.35,0.0108
56,0.22,5,36,41,0.18,1.59e-07
57,0.22,3,11,14,0.35,0.0585
58,0.22,2,15,17,0.17,0.00116
59,0.22,13,14,27,1.18,0.544
60,0.22,12,11,23,1.38,0.234
61,0.22,6,83,89,0.09,7.75e-21
62,0.22,0,11,11,0.0,0.000445
63,0.22,12,12,24,1.27,0.412
64,0.22,12,21,33,0.72,0.324
65,0.22,1,10,11,0.13,0.00657
66,0.22,19,11,30,2.19,0.0018
68,0.22,3,19,22,0.2,0.000407
69,0.22,2,12,14,0.21,0.0084
70,0.22,6,12,18,0.63,0.328
71,0.22,9,14,23,0.82,0.652
72,0.22,0,12,12,0.0,0.00013
73,0.22,0,9,9,0.0,0.00193
74,0.22,1,4,5,0.32,0.389
75,0.22,3,6,9,0.63,0.642
76,0.22,1,5,6,0.25,0.201
77,0.22,2,6,8,0.42,0.349
78,0.22,0,15,15,0.0,1.4e-05
79,0.22,4,16,20,0.32,0.0104
80,0.22,0,13,13,0.0,6.18e-05
81,0.22,0,7,7,0.0,0.00859
82,0.22,10,16,26,0.79,0.572
83,0.22,0,7,7,0.0,0.00859
84,0.22,7,7,14,1.27,0.517
85,0.22,3,9,12,0.42,0.182
86,0.22,1,4,5,0.32,0.389
87,0.22,2,19,21,0.13,7.89e-05
88,0.22,2,18,20,0.14,0.000155
89,0.22,1,18,19,0.07,2.43e-05
90,0.22,0,11,11,0.0,0.000445
91,0.22,1,13,14,0.1,0.00081
92,0.22,2,10,12,0.25,0.0304
93,0.22,1,4,5,0.32,0.389
94,0.22,0,9,9,0.0,0.00193
95,0.22,0,14,14,0.0,2.94e-05
96,0.22,0,5,5,0.0,0.0391
97,0.22,1,18,19,0.07,2.43e-05
98,0.22,3,14,17,0.27,0.00962
99,0.22,5,21,26,0.3,0.00189
100,0.22,0,4,4,0.0,0.0846
2,0.23,944,1327,2271,0.9,0.00113
4,0.23,337,589,926,0.73,4.79e-10
5,0.23,393,600,993,0.83,0.000145
6,0.23,446,570,1016,0.99,0.887
7,0.23,348,542,890,0.81,7.15e-05
8,0.23,336,514,850,0.83,0.000421
9,0.23,333,488,821,0.87,0.00707
10,0.23,311,472,783,0.84,0.00111
11,0.23,298,375,673,1.01,0.884
13,0.23,261,302,563,1.1,0.143
14,0.23,251,257,508,1.24,0.00104
15,0.23,153,244,397,0.79,0.00379
16,0.23,203,250,453,1.03,0.668
17,0.23,185,198,383,1.18,0.0245
18,0.23,173,214,387,1.02,0.728
19,0.23,112,173,285,0.82,0.0354
20,0.23,106,140,246,0.96,0.738
21,0.23,126,151,277,1.06,0.52
22,0.23,101,114,215,1.12,0.245
23,0.23,84,106,190,1.0,0.956
24,0.23,93,86,179,1.37,0.00345
25,0.23,98,87,185,1.43,0.000852
27,0.23,74,123,197,0.76,0.0192
28,0.23,51,65,116,0.99,1.0
29,0.23,39,49,88,1.01,0.936
30,0.23,58,83,141,0.89,0.386
31,0.23,47,46,93,1.3,0.0804
32,0.23,33,44,77,0.95,0.865
33,0.23,20,43,63,0.59,0.0157
34,0.23,69,56,125,1.56,0.000498
35,0.23,23,45,68,0.65,0.0352
36,0.23,27,31,58,1.1,0.612
37,0.23,20,28,48,0.91,0.749
38,0.23,31,35,66,1.12,0.504
39,0.23,11,30,41,0.46,0.00705
40,0.23,13,27,40,0.61,0.0813
41,0.23,12,19,31,0.8,0.519
42,0.23,23,27,50,1.08,0.664
43,0.23,22,15,37,1.86,0.00779
44,0.23,4,29,33,0.17,2.98e-06
45,0.23,1,21,22,0.06,1.88e-06
47,0.23,3,11,14,0.35,0.0585
48,0.23,18,21,39,1.09,0.711
49,0.23,11,17,28,0.82,0.68
50,0.23,12,27,39,0.56,0.0393
51,0.23,9,35,44,0.33,8.03e-05
52,0.23,15,11,26,1.73,0.0399
53,0.23,15,26,41,0.73,0.268
54,0.23,4,13,17,0.39,0.0577
55,0.23,2,14,16,0.18,0.00226
56,0.23,4,33,37,0.15,2.14e-07
57,0.23,5,14,19,0.45,0.0697
58,0.23,2,15,17,0.17,0.00116
59,0.23,8,13,21,0.78,0.637
60,0.23,10,10,20,1.27,0.471
61,0.23,5,82,87,0.08,1.9600000000000003e-21
62,0.23,0,10,10,0.0,0.000925
63,0.23,11,12,23,1.16,0.623
64,0.23,5,16,21,0.4,0.0327
65,0.23,1,9,10,0.14,0.0131
66,0.23,18,9,27,2.54,0.000424
68,0.23,3,16,19,0.24,0.00276
69,0.23,1,14,15,0.09,0.000402
70,0.23,2,9,11,0.28,0.0572
71,0.23,9,13,22,0.88,0.875
72,0.23,0,11,11,0.0,0.000445
73,0.23,0,7,7,0.0,0.00859
74,0.23,1,3,4,0.42,0.737
75,0.23,4,2,6,2.54,0.0757
76,0.23,3,2,5,1.9,0.211
77,0.23,2,6,8,0.42,0.349
78,0.23,0,14,14,0.0,2.94e-05
79,0.23,4,11,15,0.46,0.126
80,0.23,0,12,12,0.0,0.00013
81,0.23,0,8,8,0.0,0.00406
82,0.23,10,13,23,0.98,1.0
83,0.23,0,5,5,0.0,0.0391
84,0.23,7,6,13,1.48,0.25
85,0.23,3,5,8,0.76,1.0
86,0.23,1,3,4,0.42,0.737
87,0.23,2,17,19,0.15,0.000305
88,0.23,1,12,13,0.11,0.00163
89,0.23,1,17,18,0.07,4.9e-05
90,0.23,0,10,10,0.0,0.000925
91,0.23,1,11,12,0.12,0.00328
92,0.23,2,10,12,0.25,0.0304
93,0.23,1,4,5,0.32,0.389
94,0.23,0,9,9,0.0,0.00193
95,0.23,0,9,9,0.0,0.00193
96,0.23,0,5,5,0.0,0.0391
97,0.23,1,18,19,0.07,2.43e-05
98,0.23,3,13,16,0.29,0.0177
99,0.23,5,21,26,0.3,0.00189
100,0.23,0,4,4,0.0,0.0846
2,0.24,998,1372,2370,0.92,0.00892
4,0.24,362,604,966,0.76,4.33e-08
5,0.24,424,628,1052,0.86,0.00102
6,0.24,464,583,1047,1.01,0.833
7,0.24,357,549,906,0.82,0.000175
8,0.24,356,504,860,0.9,0.0361
9,0.24,347,498,845,0.88,0.0195
10,0.24,333,484,817,0.87,0.0116
11,0.24,301,376,677,1.01,0.793
13,0.24,276,307,583,1.14,0.0306
14,0.24,254,244,498,1.32,1.94e-05
15,0.24,149,243,392,0.78,0.0016
16,0.24,199,232,431,1.09,0.235
17,0.24,195,208,403,1.19,0.0187
18,0.24,159,199,358,1.01,0.841
19,0.24,108,166,274,0.82,0.0439
20,0.24,99,139,238,0.9,0.338
21,0.24,104,147,251,0.9,0.284
22,0.24,108,107,215,1.28,0.0121
23,0.24,70,101,171,0.88,0.312
24,0.24,75,84,159,1.13,0.268
25,0.24,68,81,149,1.06,0.573
27,0.24,73,120,193,0.77,0.0235
28,0.24,51,74,125,0.87,0.359
29,0.24,35,48,83,0.92,0.744
30,0.24,51,62,113,1.04,0.721
31,0.24,41,41,82,1.27,0.134
32,0.24,32,37,69,1.1,0.578
33,0.24,23,42,65,0.69,0.0816
34,0.24,68,54,122,1.6,0.000291
35,0.24,22,45,67,0.62,0.0228
36,0.24,24,25,49,1.22,0.31
37,0.24,20,22,42,1.15,0.471
38,0.24,27,31,58,1.1,0.612
39,0.24,9,29,38,0.39,0.00161
40,0.24,9,22,31,0.52,0.0407
41,0.24,8,16,24,0.63,0.257
42,0.24,17,25,42,0.86,0.651
43,0.24,23,18,41,1.62,0.0318
44,0.24,7,23,30,0.39,0.00635
45,0.24,1,17,18,0.07,4.9e-05
47,0.24,3,11,14,0.35,0.0585
48,0.24,15,13,28,1.46,0.155
49,0.24,11,14,25,1.0,1.0
50,0.24,12,24,36,0.63,0.133
51,0.24,9,31,40,0.37,0.000746
52,0.24,12,9,21,1.69,0.0854
53,0.24,3,21,24,0.18,0.000111
54,0.24,4,11,15,0.46,0.126
55,0.24,2,13,15,0.2,0.00437
56,0.24,4,31,35,0.16,8.03e-07
57,0.24,3,15,18,0.25,0.00517
58,0.24,2,15,17,0.17,0.00116
59,0.24,8,13,21,0.78,0.637
60,0.24,10,9,19,1.41,0.256
61,0.24,6,81,87,0.09,3.08e-20
62,0.24,0,10,10,0.0,0.000925
63,0.24,11,11,22,1.27,0.393
64,0.24,5,6,11,1.06,0.816
65,0.24,1,12,13,0.11,0.00163
66,0.24,18,8,26,2.85,0.000106
68,0.24,6,15,21,0.51,0.107
69,0.24,0,9,9,0.0,0.00193
70,0.24,2,10,12,0.25,0.0304
71,0.24,9,14,23,0.82,0.652
72,0.24,0,11,11,0.0,0.000445
73,0.24,0,7,7,0.0,0.00859
74,0.24,1,3,4,0.42,0.737
75,0.24,4,1,5,5.07,0.00865
76,0.24,0,2,2,0.0,0.417
77,0.24,2,6,8,0.42,0.349
78,0.24,0,14,14,0.0,2.94e-05
79,0.24,4,11,15,0.46,0.126
80,0.24,0,10,10,0.0,0.000925
81,0.24,0,8,8,0.0,0.00406
82,0.24,10,12,22,1.06,0.746
83,0.24,0,4,4,0.0,0.0846
84,0.24,6,6,12,1.27,0.486
85,0.24,2,5,7,0.51,0.453
86,0.24,1,4,5,0.32,0.389
87,0.24,2,17,19,0.15,0.000305
88,0.24,1,12,13,0.11,0.00163
89,0.24,1,17,18,0.07,4.9e-05
90,0.24,0,10,10,0.0,0.000925
91,0.24,1,11,12,0.12,0.00328
92,0.24,2,10,12,0.25,0.0304
93,0.24,1,4,5,0.32,0.389
94,0.24,0,9,9,0.0,0.00193
95,0.24,0,9,9,0.0,0.00193
96,0.24,0,5,5,0.0,0.0391
97,0.24,1,18,19,0.07,2.43e-05
98,0.24,3,13,16,0.29,0.0177
99,0.24,5,20,25,0.32,0.00341
100,0.24,0,4,4,0.0,0.0846
2,0.25,1009,1381,2390,0.93,0.013
4,0.25,377,615,992,0.78,3.27e-07
5,0.25,444,637,1081,0.88,0.00795
6,0.25,479,608,1087,1.0,1.0
7,0.25,359,566,925,0.8,1.96e-05
8,0.25,368,506,874,0.92,0.118
9,0.25,331,480,811,0.87,0.013
10,0.25,327,466,793,0.89,0.0335
11,0.25,308,387,695,1.01,0.863
13,0.25,271,294,565,1.17,0.0111
14,0.25,259,245,504,1.34,6.22e-06
15,0.25,146,239,385,0.77,0.00147
16,0.25,190,219,409,1.1,0.194
17,0.25,188,202,390,1.18,0.026
18,0.25,165,190,355,1.1,0.219
19,0.25,108,154,262,0.89,0.237
20,0.25,96,131,227,0.93,0.522
21,0.25,104,143,247,0.92,0.45
22,0.25,104,102,206,1.29,0.0118
23,0.25,61,102,163,0.76,0.0293
24,0.25,68,82,150,1.05,0.663
25,0.25,73,79,152,1.17,0.182
27,0.25,66,121,187,0.69,0.00174
28,0.25,37,68,105,0.69,0.02
29,0.25,28,45,73,0.79,0.239
30,0.25,47,61,108,0.98,0.942
31,0.25,36,41,77,1.11,0.482
32,0.25,30,31,61,1.23,0.264
33,0.25,29,41,70,0.9,0.659
34,0.25,54,46,100,1.49,0.00586
35,0.25,22,46,68,0.61,0.0156
36,0.25,24,23,47,1.32,0.159
37,0.25,16,22,38,0.92,0.904
38,0.25,27,32,59,1.07,0.69
39,0.25,18,24,42,0.95,1.0
40,0.25,9,22,31,0.52,0.0407
41,0.25,2,15,17,0.17,0.00116
42,0.25,15,24,39,0.79,0.421
43,0.25,21,22,43,1.21,0.398
44,0.25,7,22,29,0.4,0.00797
45,0.25,2,18,20,0.14,0.000155
47,0.25,3,10,13,0.38,0.104
48,0.25,14,13,27,1.37,0.27
49,0.25,10,13,23,0.98,1.0
50,0.25,13,22,35,0.75,0.338
51,0.25,5,30,35,0.21,7.51e-06
52,0.25,11,7,18,1.99,0.0299
53,0.25,3,19,22,0.2,0.000407
54,0.25,4,10,14,0.51,0.21
55,0.25,2,12,14,0.21,0.0084
56,0.25,2,25,27,0.1,1.31e-06
57,0.25,3,14,17,0.27,0.00962
58,0.25,1,11,12,0.12,0.00328
59,0.25,6,13,19,0.59,0.212
60,0.25,10,7,17,1.81,0.081
61,0.25,6,80,86,0.1,6.15e-20
62,0.25,0,9,9,0.0,0.00193
63,0.25,11,10,21,1.39,0.279
64,0.25,5,6,11,1.06,0.816
65,0.25,1,12,13,0.11,0.00163
66,0.25,4,8,12,0.63,0.545
68,0.25,6,14,20,0.54,0.172
69,0.25,0,9,9,0.0,0.00193
70,0.25,2,9,11,0.28,0.0572
71,0.25,6,11,17,0.69,0.494
72,0.25,0,12,12,0.0,0.00013
73,0.25,0,7,7,0.0,0.00859
74,0.25,2,3,5,0.85,1.0
75,0.25,4,1,5,5.07,0.00865
76,0.25,0,1,1,0.0,1.0
77,0.25,2,4,6,0.63,0.777
78,0.25,0,14,14,0.0,2.94e-05
79,0.25,4,11,15,0.46,0.126
80,0.25,0,12,12,0.0,0.00013
81,0.25,0,8,8,0.0,0.00406
82,0.25,10,12,22,1.06,0.746
83,0.25,0,4,4,0.0,0.0846
84,0.25,6,6,12,1.27,0.486
85,0.25,2,4,6,0.63,0.777
