Blob length,Hydrophobicity threshold H*,Number of dSNPs,Number of nSNPs,Total Number of SNPs,Enrichment of dSNPs,p value
70,0.01,4,8,12,0.63,0.545
71,0.01,2,5,7,0.51,0.453
72,0.01,0,5,5,0.0,0.0391
73,0.01,1,6,7,0.21,0.102
74,0.01,2,6,8,0.42,0.349
75,0.01,0,2,2,0.0,0.417
76,0.01,0,5,5,0.0,0.0391
77,0.01,4,3,7,1.69,0.308
78,0.01,2,19,21,0.13,7.89e-05
79,0.01,5,9,14,0.7,0.572
80,0.01,0,6,6,0.0,0.0183
81,0.01,3,8,11,0.48,0.232
82,0.01,6,5,11,1.52,0.302
83,0.01,0,6,6,0.0,0.0183
84,0.01,9,5,14,2.28,0.0197
85,0.01,1,5,6,0.25,0.201
86,0.01,1,4,5,0.32,0.389
87,0.01,0,13,13,0.0,6.18e-05
88,0.01,2,12,14,0.21,0.0084
89,0.01,3,17,20,0.22,0.00147
90,0.01,0,12,12,0.0,0.00013
91,0.01,1,10,11,0.13,0.00657
92,0.01,3,19,22,0.2,0.000407
93,0.01,1,6,7,0.21,0.102
94,0.01,5,11,16,0.58,0.304
95,0.01,0,11,11,0.0,0.000445
96,0.01,2,7,9,0.36,0.194
97,0.01,2,23,25,0.11,5.17e-06
98,0.01,3,16,19,0.24,0.00276
99,0.01,3,21,24,0.18,0.000111
1,0.02,37,51,88,0.92,0.693
3,0.02,4,2,6,2.54,0.0757
4,0.02,0,3,3,0.0,0.185
5,0.02,0,1,1,0.0,1.0
6,0.02,1,2,3,0.63,1.0
7,0.02,0,2,2,0.0,0.417
8,0.02,4,4,8,1.27,0.565
9,0.02,2,1,3,2.54,0.187
10,0.02,1,3,4,0.42,0.737
12,0.02,0,5,5,0.0,0.0391
13,0.02,1,1,2,1.27,0.546
14,0.02,0,3,3,0.0,0.185
15,0.02,1,8,9,0.16,0.0262
16,0.02,5,4,9,1.58,0.254
17,0.02,2,3,5,0.85,1.0
18,0.02,1,5,6,0.25,0.201
19,0.02,6,5,11,1.52,0.302
20,0.02,1,1,2,1.27,0.546
21,0.02,4,9,13,0.56,0.344
22,0.02,0,6,6,0.0,0.0183
23,0.02,2,8,10,0.32,0.106
24,0.02,1,8,9,0.16,0.0262
26,0.02,0,10,10,0.0,0.000925
27,0.02,1,10,11,0.13,0.00657
28,0.02,2,10,12,0.25,0.0304
29,0.02,8,8,16,1.27,0.425
30,0.02,0,9,9,0.0,0.00193
31,0.02,1,3,4,0.42,0.737
32,0.02,0,12,12,0.0,0.00013
33,0.02,7,5,12,1.77,0.124
34,0.02,1,8,9,0.16,0.0262
35,0.02,7,9,16,0.99,1.0
36,0.02,3,5,8,0.76,1.0
37,0.02,4,9,13,0.56,0.344
38,0.02,9,4,13,2.85,0.00523
39,0.02,1,3,4,0.42,0.737
40,0.02,3,6,9,0.63,0.642
41,0.02,4,10,14,0.51,0.21
42,0.02,20,4,24,6.34,1.96e-10
43,0.02,3,6,9,0.63,0.642
44,0.02,3,10,13,0.38,0.104
46,0.02,3,8,11,0.48,0.232
47,0.02,3,10,13,0.38,0.104
48,0.02,1,7,8,0.18,0.0519
49,0.02,2,9,11,0.28,0.0572
50,0.02,0,16,16,0.0,6.73e-06
51,0.02,7,15,22,0.59,0.189
52,0.02,7,9,16,0.99,1.0
53,0.02,4,6,10,0.85,1.0
54,0.02,7,18,25,0.49,0.0611
55,0.02,7,9,16,0.99,1.0
56,0.02,16,11,27,1.84,0.0244
57,0.02,14,18,32,0.99,1.0
58,0.02,25,15,40,2.11,0.000655
59,0.02,25,11,36,2.88,4.68e-06
60,0.02,3,3,6,1.27,0.515
61,0.02,7,17,24,0.52,0.0983
62,0.02,8,6,14,1.69,0.157
63,0.02,6,22,28,0.35,0.00358
64,0.02,13,13,26,1.27,0.348
65,0.02,2,11,13,0.23,0.016
67,0.02,14,14,28,1.27,0.363
68,0.02,3,16,19,0.24,0.00276
69,0.02,0,4,4,0.0,0.0846
70,0.02,6,11,17,0.69,0.494
71,0.02,3,7,10,0.54,0.392
72,0.02,0,7,7,0.0,0.00859
73,0.02,1,21,22,0.06,1.88e-06
74,0.02,2,20,22,0.13,4e-05
75,0.02,10,13,23,0.98,1.0
76,0.02,14,8,22,2.22,0.00737
77,0.02,4,9,13,0.56,0.344
78,0.02,6,36,42,0.21,7.64e-07
79,0.02,7,13,20,0.68,0.431
80,0.02,1,14,15,0.09,0.000402
81,0.02,5,13,18,0.49,0.116
82,0.02,6,3,9,2.54,0.0337
83,0.02,2,20,22,0.13,4e-05
84,0.02,15,8,23,2.38,0.00225
85,0.02,4,10,14,0.51,0.21
86,0.02,1,11,12,0.12,0.00328
87,0.02,0,20,20,0.0,2.27e-07
88,0.02,4,20,24,0.25,0.000925
89,0.02,5,32,37,0.2,2.1e-06
90,0.02,13,14,27,1.18,0.544
91,0.02,5,17,22,0.37,0.0188
92,0.02,3,23,26,0.17,2.97e-05
93,0.02,1,19,20,0.07,1.21e-05
94,0.02,9,18,27,0.63,0.229
95,0.02,4,12,16,0.42,0.0737
96,0.02,6,9,15,0.85,0.851
97,0.02,4,26,30,0.2,2.09e-05
98,0.02,5,21,26,0.3,0.00189
99,0.02,3,31,34,0.12,1.4e-07
1,0.03,37,53,90,0.89,0.535
3,0.03,4,2,6,2.54,0.0757
4,0.03,0,3,3,0.0,0.185
5,0.03,0,1,1,0.0,1.0
6,0.03,1,2,3,0.63,1.0
7,0.03,0,2,2,0.0,0.417
8,0.03,4,4,8,1.27,0.565
9,0.03,2,1,3,2.54,0.187
10,0.03,1,3,4,0.42,0.737
12,0.03,0,5,5,0.0,0.0391
13,0.03,1,1,2,1.27,0.546
14,0.03,0,3,3,0.0,0.185
15,0.03,1,8,9,0.16,0.0262
16,0.03,5,4,9,1.58,0.254
17,0.03,2,3,5,0.85,1.0
18,0.03,1,5,6,0.25,0.201
19,0.03,6,5,11,1.52,0.302
20,0.03,1,1,2,1.27,0.546
21,0.03,4,9,13,0.56,0.344
22,0.03,0,6,6,0.0,0.0183
23,0.03,2,8,10,0.32,0.106
24,0.03,1,8,9,0.16,0.0262
26,0.03,0,10,10,0.0,0.000925
27,0.03,1,10,11,0.13,0.00657
28,0.03,2,10,12,0.25,0.0304
29,0.03,8,8,16,1.27,0.425
30,0.03,0,9,9,0.0,0.00193
31,0.03,1,3,4,0.42,0.737
32,0.03,0,12,12,0.0,0.00013
33,0.03,7,5,12,1.77,0.124
34,0.03,1,8,9,0.16,0.0262
35,0.03,7,9,16,0.99,1.0
36,0.03,3,5,8,0.76,1.0
37,0.03,4,9,13,0.56,0.344
38,0.03,9,4,13,2.85,0.00523
39,0.03,1,3,4,0.42,0.737
40,0.03,3,6,9,0.63,0.642
41,0.03,4,10,14,0.51,0.21
42,0.03,20,4,24,6.34,1.96e-10
43,0.03,3,6,9,0.63,0.642
44,0.03,3,10,13,0.38,0.104
46,0.03,3,8,11,0.48,0.232
47,0.03,3,10,13,0.38,0.104
48,0.03,1,7,8,0.18,0.0519
49,0.03,2,9,11,0.28,0.0572
50,0.03,0,16,16,0.0,6.73e-06
51,0.03,7,15,22,0.59,0.189
52,0.03,7,9,16,0.99,1.0
53,0.03,4,6,10,0.85,1.0
54,0.03,7,18,25,0.49,0.0611
55,0.03,7,9,16,0.99,1.0
56,0.03,16,11,27,1.84,0.0244
57,0.03,14,18,32,0.99,1.0
58,0.03,25,15,40,2.11,0.000655
59,0.03,25,11,36,2.88,4.68e-06
60,0.03,3,3,6,1.27,0.515
61,0.03,7,17,24,0.52,0.0983
62,0.03,8,6,14,1.69,0.157
63,0.03,6,22,28,0.35,0.00358
64,0.03,13,13,26,1.27,0.348
65,0.03,2,11,13,0.23,0.016
67,0.03,14,14,28,1.27,0.363
68,0.03,3,16,19,0.24,0.00276
69,0.03,0,4,4,0.0,0.0846
70,0.03,6,11,17,0.69,0.494
71,0.03,3,7,10,0.54,0.392
72,0.03,0,7,7,0.0,0.00859
